"Product ID","Product Type",Code,Name,Brand,Description,"Cost Price","Retail Price","Sale Price","Calculated Price","Fixed Shipping Price","Free Shipping",Warranty,Weight,Width,Height,Depth,"Allow Purchases","Product Visible","Product Availability","Product Inventoried","Stock Level","Low Stock Level","Date Added","Date Modified","Category Details",Images,"Page Title","META Keywords","META Description","Product Condition","Product URL","Redirect Old URL?","Product Tax Code","Product Custom Fields"
119,P,F00731,"Riese & Muller Superdelite Mountain Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX   Battery: Bosch PowerTube DualBattery 1125 Wh   Gears: Shimano Deore XT, 12-speed derailleur gear system   Weight: from 27,9 kg / 62 lbs  ",0.00,0.00,6300.00,6300.00,0.0000,N,,27.9000,0.0000,0.0000,0.0000,Y,Y,,N,6,0,21/04/2023,03/11/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: e-Mountain, Category Path: Riese & Muller/e-Mountain|Category Name: Superdelite Mountain - CLEARANCE, Category Path: Riese & Muller/e-Mountain/Superdelite Mountain - CLEARANCE","Product Image File: F00731-SupDelMoun-Tour-WrmS__64729.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/v/841/F00731-SupDelMoun-Tour-WrmS__64729.jpg|Product Image File: F00731-SupDelMoun-Tour-Tdra__31246.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/q/949/F00731-SupDelMoun-Tour-Tdra__31246.jpg","Riese & Muller Superdelite Mountain Touring",,"Riese & Muller Superdelite Mountain Touring",New,/superdelite-mountain-touring/,,,
122,P,F00725,"Riese & Muller Superdelite GT Touring","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line CX   Battery: Bosch PowerTube DualBattery 1125 Wh   Gears: Shimano Deore XT, 11-speed derailleur gear   Weight: from 31,4 kg / 69,2 lbs  ",0.00,0.00,5700.00,5700.00,0.0000,N,,31.4000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,29/04/2023,03/11/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite - CLEARANCE, Category Path: Riese & Muller/Trekking/Superdelite - CLEARANCE","Product Image File: SuDlt_GT_tou_51_TdraGreyMtt__52429.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/e/954/SuDlt_GT_tou_51_TdraGreyMtt__52429.jpg|Product Image File: SuDlt_GT_tou_51_WrmSilvMtt__57852.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/k/842/SuDlt_GT_tou_51_WrmSilvMtt__57852.jpg","Riese & Muller Superdelite GT Touring",,"Riese & Muller Superdelite GT Touring",New,/superdelite-gt-touring/,,,
193,P,F00726,"Riese & Muller Superdelite GT Touring HS","Riese & Muller","This Touring model comes fitted with:   Motor: Bosch Performance Line Speed   Battery: Bosch PowerTube DualBattery 1125 Wh   Gears: Shimano Deore XT, 11-speed derailleur gear   Weight: from 31,6 kg / 69,6 lbs  ",0.00,0.00,6000.00,6000.00,0.0000,N,,31.6000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,17/05/2023,03/11/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite - CLEARANCE, Category Path: Riese & Muller/Trekking/Superdelite - CLEARANCE","Product Image File: SuDlt_GT_tou_HS_51_TdraGreyMtt__58988.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/a/197/SuDlt_GT_tou_HS_51_TdraGreyMtt__58988.jpg|Product Image File: SuDlt_GT_tou_HS_51_WrmSilvMtt__12917.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/q/726/SuDlt_GT_tou_HS_51_WrmSilvMtt__12917.jpg","Riese & Muller Superdelite GT Touring HS",,"Riese & Muller Superdelite GT Touring HS (High Speed)",New,/superdelite-gt-touring-hs/,,,
194,P,F00727,"Riese & Muller Superdelite GT Vario","Riese & Muller","This Vario model comes fitted with:    Motor: Bosch Performance Line CX   Battery: Bosch PowerTube DualBattery 1125 Wh   Gears: Enviolo 380, continuous hub gear, belt drive   Weight: from 32,4 kg / 71,4 lbs  ",0.00,0.00,6000.00,6000.00,0.0000,N,,31.4000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,20/05/2023,03/11/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite - CLEARANCE, Category Path: Riese & Muller/Trekking/Superdelite - CLEARANCE","Product Image File: SuDlt_GT_var_51_TdraGreyMtt__04092.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/s/224/SuDlt_GT_var_51_TdraGreyMtt__04092.jpg|Product Image File: SuDlt_GT_var_51_WrmSilvMtt__66033.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/j/020/SuDlt_GT_var_51_WrmSilvMtt__66033.jpg","Riese & Muller Superdelite GT Vario",,"Riese & Muller Superdelite GT Vario",New,/superdelite-gt-vario/,,,
195,P,F00728,"Riese & Muller Superdelite GT Vario HS","Riese & Muller","This Vario model comes fitted with:    Motor: Bosch Performance Line Speed   Battery: Bosch PowerTube DualBattery 1125 Wh   Gears: Enviolo 380, continuous hub gear, belt drive   Weight: from 32,6 kg / 71,8 lbs  ",0.00,0.00,6300.00,6300.00,0.0000,N,,32.6000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,20/05/2023,03/11/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite - CLEARANCE, Category Path: Riese & Muller/Trekking/Superdelite - CLEARANCE","Product Image File: SuDlt_GT_var_HS_51_TdraGreyMtt__35235.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/g/832/SuDlt_GT_var_HS_51_TdraGreyMtt__35235.jpg|Product Image File: SuDlt_GT_var_HS_51_WrmSilvMtt__47205.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/g/136/SuDlt_GT_var_HS_51_WrmSilvMtt__47205.jpg","Riese & Muller Superdelite GT Vario HS",,"Riese & Muller Superdelite GT Vario HS (High Speed)",New,/superdelite-gt-vario-hs/,,,
197,P,F00729,"Riese & Muller Superdelite GT Rohloff","Riese & Muller","This Rohloff model comes fitted with:    Motor: Bosch Performance Line CX   Battery: Bosch PowerTube DualBattery 1125 Wh   Gears: Rohloff E-14 Speedhub 500/14, 14-speed hub gear, belt drive   Weight: from 31,9 kg / 70,3 lbs  ",0.00,0.00,7100.00,7100.00,0.0000,N,,31.9000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,20/05/2023,03/11/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite - CLEARANCE, Category Path: Riese & Muller/Trekking/Superdelite - CLEARANCE","Product Image File: SuDlt_GT_roh_51_TdraGreyMtt__62081.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/p/451/SuDlt_GT_roh_51_TdraGreyMtt__62081.jpg|Product Image File: SuDlt_GT_roh_51_WrmSilvMtt__51968.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/u/284/SuDlt_GT_roh_51_WrmSilvMtt__51968.jpg|Product Image File: SuDlt_GT_roh_56_TdraGreyMtt_Frt__58575.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/g/060/SuDlt_GT_roh_56_TdraGreyMtt_Frt__58575.jpg","Riese & Muller Superdelite GT Rohloff",,"Riese & Muller Superdelite GT Rohloff",New,/superdelite-gt-rohloff/,,,
198,P,F00730,"Riese & Muller Superdelite GT Rohloff HS","Riese & Muller","This Rohloff model comes fitted with:    Motor: Bosch Performance Line Speed   Battery: Bosch PowerTube DualBattery 1125 Wh   Gears: Rohloff E-14 Speedhub 500/14, 14-speed hub gear, belt drive   Weight: from 32,1 kg / 70,8 lbs  ",0.00,0.00,7400.00,7400.00,0.0000,N,,32.1000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,20/05/2023,31/05/2025,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite - CLEARANCE, Category Path: Riese & Muller/Trekking/Superdelite - CLEARANCE","Product Image File: SuDlt_GT_roh_HS_51_TdraGreyMtt_Frt__73169.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/u/550/SuDlt_GT_roh_HS_51_TdraGreyMtt_Frt__73169.jpg|Product Image File: SuDlt_GT_roh_HS_56_TdraGreyMtt__01531.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/i/803/SuDlt_GT_roh_HS_56_TdraGreyMtt__01531.jpg|Product Image File: SuDlt_GT_roh_HS_51_WrmSilvMtt__66409.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/k/004/SuDlt_GT_roh_HS_51_WrmSilvMtt__66409.jpg","Riese & Muller Superdelite GT Rohloff HS",,"Riese & Muller Superdelite GT Rohloff HS (High Speed)",New,/superdelite-gt-rohloff-hs/,,,
240,P,F00732,"Riese & Muller Superdelite Mountain Rohloff","Riese & Muller","This Rohloff model comes fitted with:    Motor: Bosch Performance Line CX   Battery: Bosch PowerTube DualBattery 1125 Wh   Gears: Rohloff E-14 Speedhub 500/14, 14-speed hub gear, belt drive   Weight: from 28,4 kg / 63 lbs  ",0.00,0.00,7500.00,7500.00,0.0000,N,,28.4000,0.0000,0.0000,0.0000,Y,Y,,N,6,0,31/05/2023,03/11/2024,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: e-Mountain, Category Path: Riese & Muller/e-Mountain|Category Name: Superdelite Mountain - CLEARANCE, Category Path: Riese & Muller/e-Mountain/Superdelite Mountain - CLEARANCE","Product Image File: F00732-SupDelMoun-Rohl-Tdra__14780.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/r/410/F00732-SupDelMoun-Rohl-Tdra__14780.jpg|Product Image File: F00732-SupDelMoun-Rohl-WrmS__11355.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/p/424/F00732-SupDelMoun-Rohl-WrmS__11355.jpg","Riese & Muller Superdelite Mountain Rohloff",,"Riese & Muller Superdelite Mountain Rohloff",New,/riese-muller-superdelite-mountain-rohloff/,,,
524,P,F01436.,"Riese & Muller Superdelite5 GT Touring","Riese & Muller","The Riese & Müller Superdelite5 GT Touring is a premium full-suspension e-bike designed for long-distance touring, comfort, and all-terrain capability. Featuring the Bosch Performance Line CX motor and the innovative DualBattery 1200 system—combining an 800 Wh PowerTube with a 400 Wh CompactTube—it offers exceptional range and powerful support for demanding rides. The Shimano CUES 11-speed drivetrain ensures smooth, reliable shifting, while high-end Fox suspension front and rear delivers outstanding control and comfort. With integrated Supernova lighting, TRP disc brakes, and RX Chip connectivity for smart features, the Superdelite5 GT Touring sets a new standard in performance, versatility, and long-range capability.",0.00,0.00,0.00,7519.00,0.0000,N,,36.2000,0.0000,0.0000,0.0000,Y,N,,N,0,0,10/05/2025,10/05/2025,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite5 - NEW for 2025, Category Path: Riese & Muller/Trekking/Superdelite5 - NEW for 2025","Product Image File: Delite5_Touring_Moss__50478.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/s/154/Delite5_Touring_Moss__50478.jpg","Riese & Muller Superdelite5 GT Touring",,,New,/riese-muller-superdelite5-gt-touring/,,,
525,P,F01436..,"Riese & Muller Superdelite5 GT Touring.","Riese & Muller","The Riese & Müller Superdelite5 GT Touring is a premium full-suspension e-bike designed for long-distance touring, comfort, and all-terrain capability. Featuring the Bosch Performance Line CX motor and the innovative DualBattery 1200 system—combining an 800 Wh PowerTube with a 400 Wh CompactTube—it offers exceptional range and powerful support for demanding rides. The Shimano CUES 11-speed drivetrain ensures smooth, reliable shifting, while high-end Fox suspension front and rear delivers outstanding control and comfort. With integrated Supernova lighting, TRP disc brakes, and RX Chip connectivity for smart features, the Superdelite5 GT Touring sets a new standard in performance, versatility, and long-range capability.",0.00,0.00,7143.00,7143.00,0.0000,N,,36.2000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,10/05/2025,18/05/2025,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite5 - NEW for 2025, Category Path: Riese & Muller/Trekking/Superdelite5 - NEW for 2025","Product Image File: Delite5_Touring_Moss__46201.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/q/905/Delite5_Touring_Moss__46201.jpg","Riese & Muller Superdelite5 GT Touring.",,,New,/riese-muller-superdelite5-gt-touring-6bxy/,,,
526,P,F01438,"Riese & Muller Superdelite5 GT Vario","Riese & Muller","The Riese & Müller Superdelite5 GT Vario is a premium, long-range electric bike built for comfort, performance, and versatility on any terrain. Powered by the Bosch Performance Line CX motor and the DualBattery 1200 system—featuring an 800 Wh PowerTube and a 400 Wh CompactTube—it delivers an outstanding 1,200 Wh of total capacity for extended adventures. The Enviolo stepless gear hub paired with a low-maintenance Gates carbon belt drive offers smooth, silent shifting and a clean, worry-free ride. Full Fox suspension ensures control and comfort across varied surfaces, while TRP disc brakes and Supernova lighting provide safety and visibility. With RX Chip integration for smart connectivity, the Superdelite5 GT Vario is ideal for riders seeking effortless range and refined performance.",0.00,7580.00,7580.00,7580.00,0.0000,N,,37.9000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,10/05/2025,17/05/2025,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite5 - NEW for 2025, Category Path: Riese & Muller/Trekking/Superdelite5 - NEW for 2025","Product Image File: Delite5_Vario_Moss__64134.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/t/647/Delite5_Vario_Moss__64134.jpg","Riese & Muller Superdelite5 GT Touring.",,,New,/riese-muller-superdelite5-gt-vario/,,,
527,P,F01440,"Riese & Muller Superdelite5 GT Rohloff","Riese & Muller","The Riese & Müller Superdelite5 GT Rohloff is the pinnacle of performance and endurance in the world of electric touring bikes. Featuring the powerful Bosch Performance Line CX motor and the DualBattery 1200 system—combining an 800 Wh PowerTube with a 400 Wh CompactTube—it delivers an exceptional 1,200 Wh of total battery capacity for ultra-long-range adventures. At its core is the electronically shifting Rohloff E-14 14-speed hub gear, renowned for its durability, precision, and virtually maintenance-free performance. Paired with a Gates carbon belt drive, it offers silent, seamless shifting even under load. With premium Fox suspension, TRP disc brakes, Supernova lighting, and integrated RX Chip connectivity (providing Connect Ride features), the Superdelite5 GT Rohloff is engineered for riders who demand the highest levels of reliability, comfort, and all-terrain capability.",0.00,0.00,8910.00,8910.00,0.0000,N,,37.3000,0.0000,0.0000,0.0000,Y,Y,,N,0,0,10/05/2025,18/05/2025,"Category Name: Riese & Muller, Category Path: Riese & Muller|Category Name: Trekking, Category Path: Riese & Muller/Trekking|Category Name: Superdelite5 - NEW for 2025, Category Path: Riese & Muller/Trekking/Superdelite5 - NEW for 2025","Product Image File: Superdelite_IMG_8263__52756.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/u/422/Superdelite_IMG_8263__52756.jpg|Product Image File: SuperdeliteIMG_8289__98608.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/s/732/SuperdeliteIMG_8289__98608.jpg|Product Image File: SuperdeliteIMG_8274__44753.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/o/253/SuperdeliteIMG_8274__44753.jpg|Product Image File: SuperdeliteIMG_8265__25285.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/v/590/SuperdeliteIMG_8265__25285.jpg|Product Image File: SuperdeliteIMG_8290__68973.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/m/162/SuperdeliteIMG_8290__68973.jpg|Product Image File: SuperdeliteIMG_8287_002__44099.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/v/488/SuperdeliteIMG_8287_002__44099.jpg|Product Image File: SuperdeliteIMG_8285__27750.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/b/882/SuperdeliteIMG_8285__27750.jpg|Product Image File: SuperdeliteIMG_8279__63903.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/k/525/SuperdeliteIMG_8279__63903.jpg|Product Image File: SuperdeliteIMG_8280__76262.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/t/354/SuperdeliteIMG_8280__76262.jpg|Product Image File: SuperdeliteIMG_8277__74478.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/t/084/SuperdeliteIMG_8277__74478.jpg|Product Image File: SuperdeliteIMG_8266__43888.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/r/947/SuperdeliteIMG_8266__43888.jpg|Product Image File: SuperdeliteIMG_8267__26961.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/i/191/SuperdeliteIMG_8267__26961.jpg|Product Image File: SuperdeliteIMG_8268__41551.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/m/642/SuperdeliteIMG_8268__41551.jpg|Product Image File: SuperdeliteIMG_8269__19949.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/c/836/SuperdeliteIMG_8269__19949.jpg|Product Image File: SuperdeliteIMG_8273__26815.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/t/831/SuperdeliteIMG_8273__26815.jpg|Product Image File: SuperdeliteIMG_8286__83923.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/w/461/SuperdeliteIMG_8286__83923.jpg|Product Image File: Delite5_Rohloff_Moss__40425.jpg, Product Image URL: http://www.e-bikebarn.com/product_images/z/840/Delite5_Rohloff_Moss__40425.jpg","Riese & Muller Superdelite5 GT Touring.",,,New,/riese-muller-superdelite5-gt-rohloff/,,,
